"filename", "language", "XML", "JavaScript", "CSS", "JavaScript React", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/lab/ModalAddLab.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 8, 15, 124
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/lab/ModalJoinLab.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 8, 76
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/loading/dots.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/loading/dots.jsx", "JavaScript React", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/nav/Directory.jsx", "JavaScript React", 0, 0, 0, 29, 0, 0, 0, 0, 9, 38
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/nav/Nav.css", "CSS", 0, 0, 77, 0, 0, 0, 0, 0, 10, 87
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/nav/Nav.jsx", "JavaScript React", 0, 0, 0, 48, 0, 0, 0, 0, 9, 57
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/nav/landingNav.jsx", "JavaScript React", 0, 0, 0, 45, 0, 0, 0, 3, 7, 55
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/AddProject.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 2, 19, 88
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/AddTask.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 3, 13, 95
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/Project.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 1, 23, 134
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/Projects.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 7, 19, 130
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/Task.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 12, 157
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/projects/testData.js", "JavaScript", 0, 227, 0, 0, 0, 0, 0, 0, 2, 229
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/settings/labSettings.jsx", "JavaScript React", 0, 0, 0, 42, 0, 0, 0, 22, 12, 76
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/settings/subjectData.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 56
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/components/settings/userSettings.jsx", "JavaScript React", 0, 0, 0, 63, 0, 0, 0, 0, 12, 75
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/auth/authService.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 3, 12, 54
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/auth/authSlice.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 3, 12, 115
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/lab/labService.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 6, 15, 68
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/lab/labSlice.js", "JavaScript", 0, 299, 0, 0, 0, 0, 0, 20, 23, 342
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/lab/projectService.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 15, 40
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/lab/taskService.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 11, 37
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/features/project/projectSlice.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/img/labPicture.svg", "XML", 157, 0, 0, 0, 0, 0, 0, 0, 1, 158
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/img/projectPicture.svg", "XML", 348, 0, 0, 0, 0, 0, 0, 0, 1, 349
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/index.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 4, 26
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/logo.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/Dashboard.jsx", "JavaScript React", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/Landing.jsx", "JavaScript React", 0, 0, 0, 68, 0, 0, 0, 0, 7, 75
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/Landing.test.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/Login.jsx", "JavaScript React", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/Register.jsx", "JavaScript React", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/UserSettings.jsx", "JavaScript React", 0, 0, 0, 41, 0, 0, 0, 1, 7, 49
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/pages/data.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Lab.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Landing.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 2, 4, 80
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Projects.css", "CSS", 0, 0, 129, 0, 0, 0, 0, 3, 20, 152
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Register.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/Task.css", "CSS", 0, 0, 166, 0, 0, 0, 0, 0, 11, 177
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/styles/UserSettings.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 5, 14, 80
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/util/colors.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/dominickfounds/Desktop/JS/LabRats/client/src/util/test-utils.jsx", "JavaScript React", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"/Users/dominickfounds/Desktop/JS/LabRats/package-lock.json", "JSON", 0, 0, 0, 0, 4965, 0, 0, 0, 1, 4966
"/Users/dominickfounds/Desktop/JS/LabRats/package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"Total", "-", 506, 2420, 803, 1054, 36501, 80, 20, 200, 740, 42324
