"filename", "language", "Markdown", "CSS", "JavaScript", "JSON", "JavaScript React", "XML", "HTML", "comment", "blank", "total"
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\ModalJoinLab.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\loading\dots.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\loading\dots.jsx", "JavaScript React", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\nav\Nav.css", "CSS", 0, 77, 0, 0, 0, 0, 0, 0, 10, 87
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\nav\Nav.jsx", "JavaScript React", 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\nav\landingNav.jsx", "JavaScript React", 0, 0, 0, 0, 45, 0, 0, 3, 7, 55
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\projects\AddProject.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 17, 85
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\projects\AddTask.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 2, 13, 101
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\projects\Project.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 5, 21, 160
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\projects\Projects.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 13, 98
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\projects\testData.js", "JavaScript", 0, 0, 227, 0, 0, 0, 0, 0, 2, 229
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\settings\labSettings.jsx", "JavaScript React", 0, 0, 0, 0, 42, 0, 0, 22, 12, 76
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\settings\subjectData.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 56
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\settings\userSettings.jsx", "JavaScript React", 0, 0, 0, 0, 97, 0, 0, 0, 13, 110
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\auth\authService.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 3, 12, 54
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\auth\authSlice.js", "JavaScript", 0, 0, 100, 0, 0, 0, 0, 3, 12, 115
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\lab\labService.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 6, 14, 63
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\lab\labSlice.js", "JavaScript", 0, 0, 292, 0, 0, 0, 0, 20, 22, 334
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\lab\projectService.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 15, 40
